1.44,3.059965064965e-162
1.45,2.069635111666e-162
1.46,1.458834232693e-162
1.47,1.076624123476e-162
1.48,8.374993189409e-163
1.49,6.918306857573e-163
1.5,6.103478743436e-163
1.51,5.761563758627e-163
1.52,5.801893373976e-163
1.53,6.187320671949e-163
1.54,6.926726449828e-163
1.55,8.065521707475e-163
1.56,9.691732325982e-163
1.57,1.194123373559e-162
1.58,1.499964126102e-162
1.59,1.912341426644e-162
1.6,2.463661541411e-162
1.61,3.193997838617e-162
1.62,4.150620472869e-162
1.63,5.382572622649e-162
1.64,6.9339038514e-162
1.65,8.823520524244e-162
1.66,1.101065825398e-161
1.67,1.333451587604e-161
1.68,1.540362909167e-161
1.69,1.641879476741e-161
1.7,1.487729609507e-161
1.71,8.097204490611e-162
1.72,-8.520150012289e-162
1.73,-4.262906381509e-161
1.74,-1.066321642547e-160
1.75,-2.200973561535e-160
1.76,-4.130660348465e-160
