1.36,1.934405483606e-107
1.37,1.353742417833e-107
1.38,9.736317397461e-108
1.39,7.188824126494e-108
1.4,5.450305860826e-108
1.41,4.249320698653e-108
1.42,3.415678012575e-108
1.43,2.840307847674e-108
1.44,2.452115039404e-108
1.45,2.204251632468e-108
1.46,2.065755310767e-108
1.47,2.016347221265e-108
1.48,2.043153739454e-108
1.49,2.138583827471e-108
1.5,2.298958367334e-108
1.51,2.523635971194e-108
1.52,2.814414218365e-108
1.53,3.175177180494e-108
1.54,3.611681083032e-108
1.55,4.131396031166e-108
1.56,4.743473985118e-108
1.57,5.458712828294e-108
1.58,6.289536139614e-108
1.59,7.250039540102e-108
1.6,8.355950034653e-108
1.61,9.624600983603e-108
1.62,1.107488024489e-107
1.63,1.272702205751e-107
1.64,1.460239589258e-107
1.65,1.672311054907e-107
1.66,1.911138440536e-107
1.67,2.178883340284e-107
1.68,2.477527194327e-107
1.69,2.808720579984e-107
1.7,3.173598554359e-107
1.71,3.572500682358e-107
1.72,4.004658180913e-107
1.73,4.467778824629e-107
1.74,4.957492637174e-107
1.75,5.466745856639e-107
1.76,5.984974116718e-107
1.77,6.497130661517e-107
1.78,6.982581548862e-107
1.79,7.413676798118e-107
1.8,7.754203913352e-107
1.81,7.95757202336e-107
1.82,7.964699228513e-107
1.83,7.701816080034e-107
1.84,7.0779667265e-107
